Date,Open,High,Low,Close,Adj Close,Volume
1992-06-26,0.328125,0.347656,0.320313,0.335938,0.296028,224358400
1992-06-29,0.339844,0.367188,0.332031,0.359375,0.316681,58732800
1992-06-30,0.367188,0.371094,0.343750,0.347656,0.306355,34777600
1992-07-01,0.351563,0.359375,0.339844,0.355469,0.313239,18316800
1992-07-02,0.359375,0.359375,0.347656,0.355469,0.313239,13996800
1992-07-06,0.351563,0.355469,0.347656,0.355469,0.313239,5753600
1992-07-07,0.355469,0.355469,0.347656,0.355469,0.313239,10662400
1992-07-08,0.355469,0.355469,0.343750,0.347656,0.306355,15500800
1992-07-09,0.351563,0.359375,0.347656,0.359375,0.316681,3923200
1992-07-10,0.359375,0.367188,0.351563,0.363281,0.320124,11040000
1992-07-13,0.363281,0.371094,0.359375,0.371094,0.327008,5996800
1992-07-14,0.371094,0.382813,0.367188,0.371094,0.327008,17062400
1992-07-15,0.375000,0.382813,0.371094,0.382813,0.337335,4992000
1992-07-16,0.382813,0.414063,0.378906,0.408203,0.359709,17062400
1992-07-17,0.410156,0.437500,0.398438,0.429688,0.378641,15667200
1992-07-20,0.427734,0.437500,0.417969,0.433594,0.382083,19744000
1992-07-21,0.437500,0.445313,0.429688,0.437500,0.385525,7782400
1992-07-22,0.433594,0.437500,0.421875,0.433594,0.382083,10892800
1992-07-23,0.433594,0.441406,0.425781,0.441406,0.388967,10387200
1992-07-24,0.433594,0.449219,0.429688,0.445313,0.392410,7052800
1992-07-27,0.449219,0.464844,0.445313,0.455078,0.401015,11430400
1992-07-28,0.460938,0.464844,0.429688,0.437500,0.385525,18009600
1992-07-29,0.437500,0.437500,0.406250,0.416016,0.366593,30848000
1992-07-30,0.410156,0.417969,0.402344,0.414063,0.364872,11737600
1992-07-31,0.414063,0.417969,0.406250,0.416016,0.366593,6886400
1992-08-03,0.410156,0.425781,0.410156,0.419922,0.370035,4832000
1992-08-04,0.421875,0.429688,0.412109,0.427734,0.376920,6822400
1992-08-05,0.425781,0.425781,0.402344,0.410156,0.361430,9516800
1992-08-06,0.406250,0.410156,0.398438,0.410156,0.361430,3673600
1992-08-07,0.410156,0.425781,0.398438,0.425781,0.375199,8825600
1992-08-10,0.417969,0.433594,0.414063,0.425781,0.375199,5888000
1992-08-11,0.433594,0.433594,0.421875,0.429688,0.378641,4147200
1992-08-12,0.421875,0.425781,0.402344,0.410156,0.361430,12736000
1992-08-13,0.410156,0.416016,0.402344,0.410156,0.361430,48320000
1992-08-14,0.406250,0.414063,0.382813,0.386719,0.340777,17849600
1992-08-17,0.390625,0.394531,0.382813,0.394531,0.347661,2681600
1992-08-18,0.382813,0.390625,0.382813,0.390625,0.344219,2860800
1992-08-19,0.382813,0.390625,0.382813,0.390625,0.344219,2380800
1992-08-20,0.390625,0.400391,0.378906,0.386719,0.340777,2489600
1992-08-21,0.386719,0.386719,0.378906,0.378906,0.333892,2048000
1992-08-24,0.382813,0.386719,0.375000,0.382813,0.337335,6905600
1992-08-25,0.375000,0.382813,0.375000,0.378906,0.333892,4128000
1992-08-26,0.375000,0.382813,0.359375,0.375000,0.330450,19385600
1992-08-27,0.378906,0.386719,0.375000,0.382813,0.337335,6169600
1992-08-28,0.382813,0.390625,0.378906,0.390625,0.344219,3417600
1992-08-31,0.390625,0.394531,0.382813,0.388672,0.342498,4441600
1992-09-01,0.390625,0.402344,0.386719,0.394531,0.347661,2387200
1992-09-02,0.402344,0.433594,0.394531,0.431641,0.380362,11692800
1992-09-03,0.429688,0.453125,0.429688,0.445313,0.392410,16480000
1992-09-04,0.445313,0.453125,0.441406,0.449219,0.395852,4249600
1992-09-08,0.453125,0.496094,0.445313,0.486328,0.428553,17139200
1992-09-09,0.464844,0.488281,0.453125,0.480469,0.423389,25299200
