trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.8, 'e': 0.7093217661806457}",25,0,-82.19368568865357,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.6951353308570327}",30,0,-114.46603299362857,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.6812326242398921}",30,0,-92.35517359220412,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.6676079717550942}",20,0,-70.4507359518003,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.6542558123199923}",20,7,-47.806677115759676,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.8, 'e': 0.6411706960735924}",20,0,-9.37412006007236,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.6283472821521205}",25,0,-128.37073862483905,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.8, 'e': 0.6157803365090782}",25,15,-46.28671818210963,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.8, 'e': 0.6034647297788965}",20,0,-5.070188561681494,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.5913954351833186}",30,1,-99.04885901090334,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 2}",1
27,False,"{'a': 0.8, 'e': 0.5795675264796523}",30,6,-35.94764088230922,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.5679761759500592}",20,0,-94.51031750324877,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.5566166524310581}",25,0,-23.85163395478304,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.8, 'e': 0.5454843193824369}",30,0,-34.148100092195826,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.8, 'e': 0.5345746329947881}",30,0,-113.22970139980855,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.5238831403348924}",20,0,-34.43367235225772,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.8, 'e': 0.5134054775281945}",30,19,-33.77154232520265,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.8, 'e': 0.5031373679776306}",25,0,-95.27805156715725,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.8, 'e': 0.493074620618078}",25,4,8.873644533758057,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.48321312820571644}",20,0,-4.6148170795559675,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.4735488656416021}",20,9,9.335423827484066,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.46407788832877006}",25,8,-4.8671398023002395,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.45479633056219465}",20,0,-102.4768048648922,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
40,False,"{'a': 0.8, 'e': 0.44570040395095073}",35,9,-31.197608350576083,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.8, 'e': 0.4367863958719317}",20,8,3.1760176867496606,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.42805066795449304}",30,0,-63.62230125235554,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",1
43,False,"{'a': 0.8, 'e': 0.41948965459540316}",20,0,-29.63980532272774,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.4110998615034951}",25,6,-1.691056119053334,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.4028778642734252}",20,0,7.4513643294138,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.39482030698795667}",20,6,-55.609039738535984,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.8, 'e': 0.38692390084819756}",25,18,11.59705164807463,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.3791854228312336}",20,0,-22.933763618248545,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.37160171437460887}",20,1,14.252883898360812,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.3641696800871167}",20,0,-2.2475364130318356,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.35688628648537435}",25,7,-18.20256309312944,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.8, 'e': 0.34974856075566685}",20,0,-48.09788241823855,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.8, 'e': 0.3427535895405535}",25,11,-6.58094181140356,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.33589851774974244}",30,22,14.907215215629805,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.3291805473947476}",25,0,13.618097043665504,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.32259693644685267}",25,0,15.287746235157135,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.3161449977179156}",20,10,4.115765967660614,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.3098220977635573}",20,0,-26.709187027565726,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.8, 'e': 0.30362565580828615}",20,0,-34.5051355743755,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.2975531426921204}",30,4,-46.97884261310359,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 1}",1
61,False,"{'a': 0.8, 'e': 0.291602079838278}",20,5,-25.402911979283765,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.2857700382415124}",30,1,-14.220471573237624,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.2800546374766822}",20,14,12.074845480537162,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.27445354472714856}",20,12,-42.10464523445058,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.8, 'e': 0.2689644738326056}",20,8,20.620038360079157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.26358518435595346}",20,10,-4.933031105031281,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.25831348066883436}",20,0,11.699923388879187,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.8, 'e': 0.2531472110554577}",20,15,4.362949543013386,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.24808426683434853}",25,10,17.120797116933318,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.24312258149766156}",20,0,-25.73480154607449,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.8, 'e': 0.2382601298677083}",20,15,3.467182566913963,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.23349492727035415}",25,12,-25.10225875614703,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.8, 'e': 0.22882502872494706}",25,0,34.60175921930896,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.8, 'e': 0.22424852815044813}",20,6,20.600512271982925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.21976355758743915}",20,14,11.383284870117231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.21536828643569036}",20,6,27.851769067330352,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.21106092070697655}",20,14,10.441320845772406,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.20683970229283702}",30,15,-18.271152879582097,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.8, 'e': 0.20270290824698028}",20,0,-111.76301282464384,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
80,False,"{'a': 0.8, 'e': 0.19864885008204067}",20,7,-4.691021406270671,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.19467587308039985}",30,0,-0.2761893849004269,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.8, 'e': 0.19078235561879187}",30,0,19.818198140245713,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.8, 'e': 0.18696670850641603}",20,5,-29.72978380399697,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.8, 'e': 0.18322737433628772}",20,0,-15.305418966294175,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.8, 'e': 0.17956282684956196}",25,14,-24.031146229966037,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.8, 'e': 0.1759715703125707}",25,14,6.291355586997021,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.1724521389063193}",20,12,-17.697816629605605,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.16900309612819292}",35,13,27.902957704966035,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.16562303420562907}",30,14,27.810020023150784,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.16231057352151648}",20,13,15.05296874220025,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.15906436205108615}",30,0,-17.875318444734894,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
92,False,"{'a': 0.8, 'e': 0.15588307481006441}",20,12,3.3292784895050946,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.15276541331386312}",25,5,12.310012071493997,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.14971010504758586}",20,10,-6.118161409742429,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.8, 'e': 0.14671590294663414}",20,5,-3.384846480977169,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.14378158488770146}",25,17,3.0405599684630733,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.14090595318994742}",20,10,5.96988857060917,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.13808783412614847}",30,13,10.653764077718325,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.13532607744362551}",25,16,14.934412241280345,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.132619555894753}",20,0,13.439112295262863,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.8, 'e': 0.12996716477685794}",25,10,-16.536548717125267,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.8, 'e': 0.12736782148132078}",20,13,15.625959753821,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.8, 'e': 0.12482046505169436}",25,2,24.38035319607256,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.8, 'e': 0.12232405575066048}",25,13,-0.8526266261720838,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.11987757463564727}",20,9,13.459283648614228,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.11748002314293432}",20,10,10.968600117087405,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.11513042268007563}",20,10,10.961564661070039,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.11282781422647412}",20,3,26.410417556647847,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.11057125794194463}",25,11,25.53084576892546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.10835983278310574}",20,0,-79.26574067524527,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
111,False,"{'a': 0.8, 'e': 0.10619263612744362}",25,19,4.087833579653146,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.10406878340489474}",25,19,8.313445146447398,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.10198740773679685}",25,15,20.940589058497284,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.09994765958206091}",25,12,5.413180060874814,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.8, 'e': 0.0979487063904197}",20,9,18.204688989518413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.0959897322626113}",25,15,18.294279858026137,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.09406993761735907}",25,13,13.479479779871141,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.0921885388650119}",20,13,15.035061933652717,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.09034476808771166}",25,7,32.03748359997966,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.08853787272595742}",25,11,9.934290032525594,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.8, 'e': 0.08676711527143827}",30,13,31.596431479014747,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.0850317729660095}",30,10,30.497752631288137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8, 'e': 0.08333113750668932}",30,14,30.210666751762126,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.08166451475655553}",25,16,17.584799253612367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.08003122446142442}",20,11,18.742478568530046,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.07843059997219594}",30,18,25.205298646663323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.07686198797275202}",25,14,25.480843073225877,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.07532474821329699}",25,18,12.73005116958418,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8, 'e': 0.07381825324903105}",20,5,23.504686129116944,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8, 'e': 0.07234188818405042}",30,17,24.735897461944887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.07089505042036941}",20,14,13.425927049414899,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.06947714941196202}",20,13,14.296659157419063,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.8, 'e': 0.06808760642372277}",20,13,6.8559494356598645,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.8, 'e': 0.06672585429524831}",20,12,17.088259211201365,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.06539133720934334}",20,16,7.507056476123496,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.06408351046515648}",20,10,19.338909520242943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.06280184025585335}",25,17,14.25869570613239,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.061545803450736285}",35,17,36.755361500428094,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.060314887381721555}",20,9,21.851743410480868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.05910858963408712}",25,13,17.2042820741006,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.05792641784140538}",25,7,32.39226031530962,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.05676788948457727}",20,0,13.859472927588179,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.8, 'e': 0.055632531694885724}",20,13,12.048945563394774,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.054519881060988006}",20,12,17.45322458935569,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.05342948343976824}",35,18,31.66278134249938,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.052360893770972874}",30,15,26.462061540772183,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.05131367589555342}",25,19,10.33488467186654,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.05028740237764235}",30,16,24.60914359012571,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.0492816543300895}",20,12,13.588309230953715,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.04829602124348771}",30,20,16.26815859644256,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.04733010081861796}",25,16,16.955362319440102,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8, 'e': 0.0463834988022456}",20,15,8.924847140857223,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.04545582882620069}",30,8,37.78380077155205,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.04454671224967667}",20,5,24.250182748500762,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.043655778004683135}",30,20,20.239880389260623,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.04278266244458947}",25,14,3.791627305942003,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.04192700919569768}",20,13,2.211252013519859,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.04108846901178373}",25,20,10.670026478184278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.04026669963154805}",25,16,19.392529163588087,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.03946136563891709}",20,13,13.233766092431516,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.03867213832613875}",20,8,21.092879088886086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.037898695559615975}",25,15,20.837253240463543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.03714072164842366}",20,14,11.795625553906033,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.03639790721545518}",25,11,25.25353602450006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.035669949071146075}",25,12,22.694725725942895,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.034956550089723155}",20,16,8.310738620997029,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.03425741908792869}",20,12,12.852320290542448,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.03357227070617012}",20,14,13.079196992971202,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.032900825292046715}",25,11,23.900266767813427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.03224280878620578}",20,14,11.224590140421547,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.031597952610481664}",25,6,20.368791539428056,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.03096599355827203}",20,10,20.291682097749966,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.030346673687106588}",20,12,13.667187404536556,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.029739740213364455}",25,9,29.432321941364833,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.029144945409097164}",20,9,21.419023501620202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.02856204650091522}",25,15,15.245059341673944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.027990805570896914}",30,23,12.400278743199177,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.027430989459478975}",20,12,17.109462760435807,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.026882369670289397}",30,15,30.632177430411872,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.026344722276883607}",25,17,3.9707444713628224,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.025817827831345935}",30,16,21.976082087741275,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.025301471274719014}",20,15,10.60533704892705,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.024795441849224633}",30,14,28.282985130058957,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.02429953301224014}",20,3,32.96440686321822,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.02381354235199534}",25,8,-12.4337650242558,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
186,False,"{'a': 0.8, 'e': 0.02333727150495543}",25,18,14.831706511066592,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8, 'e': 0.02287052607485632}",25,8,17.6041861497768,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.8, 'e': 0.022413115553359196}",30,16,8.251351252788735,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.8, 'e': 0.021964853242292012}",25,13,21.37520775884893,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.8, 'e': 0.02152555617744617}",25,11,24.882034400565246,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.8, 'e': 0.021095045053897248}",20,11,15.617160353053984,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.8, 'e': 0.020673144152819303}",25,17,12.548348830289541,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
