trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
235,False,"{'a': 0.8, 'e': 0.008672170100067149}",20,16,8.346292869184097,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.8, 'e': 0.008498726698065806}",30,19,20.0661301375984,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.8, 'e': 0.00832875216410449}",30,19,20.689249604966257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.8, 'e': 0.0081621771208224}",20,12,16.602466894354333,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.8, 'e': 0.007998933578405951}",20,16,7.048948981909914,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.8, 'e': 0.007838954906837833}",20,11,19.69481575803291,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.8, 'e': 0.007682175808701076}",30,21,15.880307375853924,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.8, 'e': 0.007528532292527055}",30,22,12.570647434238056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.8, 'e': 0.007377961646676513}",20,14,10.612998409302254,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.8, 'e': 0.007230402413742983}",25,7,34.184897970447025,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.8, 'e': 0.007085794365468123}",25,11,20.90662816943098,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.8, 'e': 0.00694407847815876}",20,12,15.081919641813194,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.8, 'e': 0.0068051969085955845}",25,14,21.481146430162006,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.8, 'e': 0.006669092970423673}",25,11,28.788001180133108,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
